credit_card_id,customer_id,card_number,card_expiry_date,bank_name
C001,1,4556-1837-2013-4896,2024-07-01,Stanbic IBTC Bank
C002,2,3762-5112-4456-1244,2025-05-01,Zenith Bank
C003,3,5248-8802-9967-8311,2024-04-01,WEMA Bank
C004,4,6719-3465-0457-2475,2025-07-01,Union Bank
C005,5,3590-6071-8890-5436,2024-02-01,Fidelity Bank
C006,6,2201-3748-6942-2287,2025-01-01,Zenith Bank
C007,7,8126-8395-6891-1657,2024-04-01,United Bank of Africa
C008,8,6605-8811-1765-2246,2025-05-01,Polaris Bank
C009,9,9024-3197-0233-3694,2025-11-01,Fidelity Bank
C010,10,5401-0319-9408-7214,2025-03-01,Unity Bank
C011,11,4486-3751-2107-4653,2024-10-01,Heritage Bank
C012,12,7543-2999-7763-8939,2024-05-01,Standered Chartered
C013,13,9251-0962-3836-9712,2024-04-01,Unity Bank
C014,14,3377-2356-2159-3999,2025-09-01,Keystone Bank
C015,15,1376-5689-9006-3888,2024-10-01,Access Bank
C016,16,6813-6416-5233-7003,2024-12-01,Diamond Bank
C017,17,7876-6332-1892-7512,2024-11-01,Stanbic IBTC Bank
C018,18,5142-4560-6437-1116,2025-04-01,Polaris Bank
C019,19,3989-1601-0976-3145,2024-08-01,First Bank of Nigeria
C020,20,1035-9340-3105-9387,2024-10-01,Heritage Bank
C021,21,9658-1973-0257-2803,2024-10-01,Zenith Bank
C022,22,2344-9619-1359-6684,2025-11-01,Stanbic IBTC Bank
C023,23,6487-1268-0741-5026,2024-09-01,Access Bank
C024,24,8792-7441-0779-4012,2025-02-01,Access Bank
C025,25,7150-0137-9021-9821,2024-12-01,Union Bank
C026,26,1610-4226-3298-6209,2024-06-01,Stanbic IBTC Bank
C027,27,2312-3233-8092-5430,2025-02-01,Union Bank
C028,28,8301-3444-3810-9349,2024-04-01,Unity Bank
C029,29,7464-8135-5206-7895,2024-11-01,Stanbic IBTC Bank
C030,30,6527-6676-6985-3242,2024-02-01,GT Bank
C031,31,5763-8713-3642-2867,2024-09-01,Polaris Bank
C032,32,4335-9272-1185-8896,2025-02-01,GT Bank
C033,33,7819-2687-9571-6235,2025-03-01,Union Bank
C034,34,1665-1917-5737-2776,2025-06-01,Access Bank
C035,35,9259-8829-3673-9455,2024-04-01,Union Bank
C036,36,3247-9866-2312-6700,2024-05-01,Zenith Bank
C037,37,8026-1101-9429-3567,2024-01-01,Heritage Bank
C038,38,9958-6131-8784-9310,2024-06-01,Unity Bank
C039,39,5871-1197-3359-3272,2025-04-01,Heritage Bank
C040,40,3192-9042-3854-6413,2025-10-01,Standered Chartered
C041,41,4484-6884-1430-4689,2024-07-01,Heritage Bank
C042,42,7332-2212-7982-9073,2024-10-01,United Bank of Africa
C043,43,6511-3454-1577-5559,2024-11-01,Unity Bank
C044,44,1179-5380-4998-0141,2024-07-01,Diamond Bank
C045,45,2267-0388-0348-8016,2024-12-01,WEMA Bank
C046,46,8076-3333-4527-2945,2025-06-01,WEMA Bank
C047,47,2200-5143-2816-4573,2025-03-01,Union Bank
C048,48,9101-3961-2122-9868,2024-08-01,Standered Chartered
C049,49,3770-6639-2106-1719,2025-01-01,First City Monument Bank
C050,50,1789-6771-2517-7098,2024-11-01,Zenith Bank
C051,51,7700-3306-7060-8233,2024-06-01,Sterling Bank
C052,52,1853-8983-8483-3360,2024-12-01,Fidelity Bank
C053,53,2415-3314-7331-7705,2024-03-01,United Bank of Africa
C054,54,8146-8688-2789-9528,2025-12-01,Diamond Bank
C055,55,6951-7298-2798-7922,2025-09-01,Polaris Bank
C056,56,7973-4051-3217-7579,2024-08-01,Stanbic IBTC Bank
C057,57,9861-1782-5508-4322,2024-03-01,United Bank of Africa
C058,58,3163-4821-8459-8952,2024-07-01,Standered Chartered
C059,59,8057-6550-6158-4492,2024-04-01,Unity Bank
C060,60,2202-6038-7659-4962,2025-04-01,Stanbic IBTC Bank
C061,61,9508-8235-1786-2650,2025-11-01,Stanbic IBTC Bank
C062,62,9703-6755-4717-8376,2025-03-01,Standered Chartered
C063,63,6781-9652-2639-5848,2024-02-01,Keystone Bank
C064,64,2815-2586-3771-4537,2024-02-01,Stanbic IBTC Bank
C065,65,5861-3310-3668-2014,2024-04-01,Zenith Bank
C066,66,2726-4435-2480-4544,2024-06-01,Sterling Bank
C067,67,8684-2406-7111-6677,2024-04-01,Eco Bank
C068,68,1910-8449-2234-9696,2024-10-01,Zenith Bank
C069,69,6407-8915-7279-6823,2025-08-01,Diamond Bank
C070,70,4377-1730-5794-6953,2025-10-01,Stanbic IBTC Bank
C071,71,4457-7794-2883-9811,2025-08-01,Polaris Bank
C072,72,7190-9721-2516-3091,2025-11-01,Polaris Bank
C073,73,3021-3469-1584-8245,2025-10-01,Sterling Bank
C074,74,5983-6415-1841-6927,2025-06-01,Sterling Bank
C075,75,7218-6595-4501-6059,2024-04-01,Unity Bank
C076,76,6735-7641-2748-4636,2024-05-01,Keystone Bank
C077,77,2337-3044-6383-9549,2024-04-01,United Bank of Africa
C078,78,4329-1620-2664-2667,2025-12-01,Fidelity Bank
C079,79,5241-7951-9940-6108,2025-12-01,Heritage Bank
C080,80,7116-6687-5770-2304,2024-08-01,Unity Bank
C081,81,5735-3310-5155-9475,2025-08-01,Zenith Bank
C082,82,8529-6753-4944-4579,2024-10-01,Standered Chartered
C083,83,9003-8050-7509-2563,2024-01-01,Eco Bank
C084,84,8180-4983-3602-4524,2025-06-01,Union Bank
C085,85,4536-3696-1765-7323,2024-09-01,United Bank of Africa
C086,86,9430-6016-7974-4118,2025-10-01,WEMA Bank
C087,87,2747-2230-3915-8305,2025-05-01,Standered Chartered
C088,88,8040-6453-8614-3818,2024-01-01,Access Bank
C089,89,3296-2433-5998-3380,2024-05-01,Access Bank
C090,90,8782-9904-1756-9964,2025-12-01,Zenith Bank
C091,91,5436-7291-6886-9889,2025-10-01,Keystone Bank
C092,92,1946-1787-5973-3333,2024-05-01,Polaris Bank
C093,93,4577-3225-7642-4279,2024-09-01,Diamond Bank
C094,94,4388-9432-8426-3134,2025-02-01,Unity Bank
C095,95,7615-5767-6080-3312,2024-08-01,First City Monument Bank
C096,96,3694-6007-2148-7651,2025-05-01,Sterling Bank
C097,97,6539-8490-1993-9567,2025-07-01,Zenith Bank
C098,98,8127-9204-1877-3920,2025-11-01,Diamond Bank
