customer_id,customer_name,email,phone
1,John Martinez,JohnMartinez20@gmail.com,207-319-8171
2,Virginia Read,VirginiaRead70@gmail.com,704-915-9203
3,Tim Branch,TimBranch91@gmail.com,917-398-6976
4,Garry Joyce,GarryJoyce52@gmail.com,520-880-0374
5,Julia Riddick,JuliaRiddick22@gmail.com,225-247-2241
6,Michael Schaffer,MichaelSchaffer20@gmail.com,207-386-0378
7,Kenneth Maize,KennethMaize81@gmail.com,814-935-8063
8,Mark Harding,MarkHarding31@gmail.com,310-258-0712
9,Marie Horton,MarieHorton51@gmail.com,510-968-7667
10,Cynthia Gaskin,CynthiaGaskin71@gmail.com,719-691-2601
11,Linda Thomas,LindaThomas63@gmail.com,636-625-6334
12,Barbara Costa,BarbaraCosta83@gmail.com,832-647-7230
13,Mae Sikes,MaeSikes61@gmail.com,618-443-1355
14,Angelo Castillo,AngeloCastillo86@gmail.com,860-348-9657
15,Diane Malcolm,DianeMalcolm76@gmail.com,765-759-2565
16,Cindy Shufelt,CindyShufelt51@gmail.com,516-925-9440
17,Deborah Pines,DeborahPines41@gmail.com,410-737-8298
18,Jackie Baca,JackieBaca81@gmail.com,817-750-5474
19,Susan Hammel,SusanHammel40@gmail.com,405-605-4586
20,David Riedel,DavidRiedel50@gmail.com,502-939-9444
21,Jack Herndon,JackHerndon61@gmail.com,617-342-3912
22,Jennifer Fulp,JenniferFulp44@gmail.com,443-354-1404
23,Nancy Johnson,NancyJohnson54@gmail.com,540-866-0715
24,Ann McCafferty,AnnMcCafferty73@gmail.com,732-822-4058
25,Bettye Holmes,BettyeHolmes31@gmail.com,319-363-5257
26,Michael Vaughn,MichaelVaughn80@gmail.com,801-858-9021
27,Patricia Sun,PatriciaSun85@gmail.com,858-444-5846
28,Donna Conner,DonnaConner30@gmail.com,305-819-0856
29,Daniel Weaver,DanielWeaver31@gmail.com,314-450-8498
30,Evelyn Arce,EvelynArce94@gmail.com,949-415-5318
31,Lindsey Isley,LindseyIsley91@gmail.com,916-674-4960
32,Aurora Wills,AuroraWills97@gmail.com,972-439-8352
33,Joshua Clark,JoshuaClark90@gmail.com,908-374-2856
34,Gertrude Mills,GertrudeMills52@gmail.com,520-426-7990
35,Earl Scott,EarlScott61@gmail.com,610-436-8367
36,Josephine Paylor,JosephinePaylor87@gmail.com,870-953-7350
37,Laura Gerdes,LauraGerdes26@gmail.com,269-370-8170
38,Juan Blair,JuanBlair41@gmail.com,413-496-5002
39,Sandra Shelley,SandraShelley32@gmail.com,320-315-9694
40,Valerie Shanks,ValerieShanks25@gmail.com,256-693-7847
41,Vivian Contreras,VivianContreras51@gmail.com,510-763-7709
42,Maria Ingram,MariaIngram30@gmail.com,301-717-4213
43,Alejandro Henderson,AlejandroHenderson61@gmail.com,614-780-4821
44,Harold Wells,HaroldWells31@gmail.com,312-907-3995
45,Lisa Jacobs,LisaJacobs57@gmail.com,570-386-6744
46,Araceli Fegley,AraceliFegley81@gmail.com,813-919-3954
47,Debby Corrado,DebbyCorrado86@gmail.com,863-522-8166
